month_key,cluster,cluster_label,count,total_reports_month,normalized_rate,pct_change,rolling_mean_rate,max_rate_z
2024-08,20,Cluster 20,2,458,0.004366812227074236,112.66375545851525,0.004177091481073359,-0.6009664550616448
2024-09,20,Cluster 20,2,366,0.00546448087431694,25.13661202185793,0.004240907108608891,-0.21633257878991044
2024-10,20,Cluster 20,5,415,0.012048192771084338,120.48192771084341,0.0039615603972467505,2.090664740912216
2024-11,20,Cluster 20,2,368,0.005434782608695652,-54.8913043478261,0.007293161957491838,-0.2267391427863929
2024-12,20,Cluster 20,4,391,0.010230179028132993,88.23529411764707,0.007649152084698976,1.4536148672338562
2025-01,20,Cluster 20,2,403,0.004962779156327543,-51.488833746898266,0.009237718135970996,-0.3921337889339608
2025-02,20,Cluster 20,3,451,0.0066518847006651885,34.035476718403544,0.0068759135977187295,0.19974538569916034
2025-03,20,Cluster 20,1,510,0.00196078431372549,-70.52287581699346,0.007281614295041909,-1.4440622700455066
2025-04,20,Cluster 20,3,528,0.005681818181818182,189.77272727272728,0.004525149390239407,-0.14017545136110723
2025-05,20,Cluster 20,2,475,0.004210526315789474,-25.89473684210527,0.004764829065402953,-0.6557305735550711
2025-07,20,Cluster 20,5,475,0.010526315789473684,150.0,0.003951042937111049,1.5573840973263344
2025-08,20,Cluster 20,4,526,0.0076045627376425855,-27.756653992395442,0.00680622009569378,0.5335731279071798
2025-09,20,Cluster 20,2,501,0.003992015968063872,-47.50499001996008,0.007447134947635248,-0.7322987458011345
2025-10,20,Cluster 20,1,268,0.0037313432835820895,-6.52985074626865,0.007374298165060047,-0.8236410150025409
2024-01,21,Cluster 21,6,397,0.015113350125944584,0.0,0.015113350125944584,3.2368206233093066
2024-02,21,Cluster 21,1,357,0.0028011204481792717,-81.46591970121382,0.015113350125944584,-0.6648040975171253
2024-03,21,Cluster 21,2,479,0.0041753653444676405,49.06054279749477,0.008957235287061927,-0.22931938027609441
2024-04,21,Cluster 21,1,476,0.0021008403361344537,-49.68487394957983,0.007363278639530499,-0.8867159906644166
2024-05,21,Cluster 21,1,487,0.002053388090349076,-2.258726899383978,0.003025775376260455,-0.9017531415347669
2024-06,21,Cluster 21,2,473,0.004228329809725159,105.91966173361524,0.0027765312569837234,-0.21253546116619745
2024-07,21,Cluster 21,1,447,0.0022371364653243847,-47.0917225950783,0.0027941860787362295,-0.843525085286756
2024-08,21,Cluster 21,1,458,0.002183406113537118,-2.4017467248908297,0.00283961812179954,-0.8605517063195396
2024-09,21,Cluster 21,1,366,0.00273224043715847,25.13661202185793,0.0028829574628622206,-0.6866314968430884
2024-10,21,Cluster 21,2,415,0.004819277108433735,76.38554216867473,0.002384261005339991,-0.025270063290232545
2025-01,21,Cluster 21,1,403,0.0024813895781637717,-48.51116625310175,0.0032449745530431077,-0.7661236715595611
2025-02,21,Cluster 21,3,451,0.0066518847006651885,168.0709534368071,0.0033443023745853254,0.55546529273849
2025-03,21,Cluster 21,2,510,0.00392156862745098,-41.045751633986924,0.004650850462420898,-0.30974506848145916
2025-04,21,Cluster 21,5,528,0.00946969696969697,141.47727272727275,0.004351614302093313,1.4484023394991263
2025-05,21,Cluster 21,2,475,0.004210526315789474,-55.53684210526316,0.006681050099271046,-0.21817721362489267
2025-06,21,Cluster 21,2,513,0.003898635477582846,-7.4074074074074066,0.005867263970979141,-0.3170123585494407
2025-07,21,Cluster 21,3,475,0.00631578947368421,62.000000000000014,0.005859619587689762,0.4489600146158063
2025-08,21,Cluster 21,3,526,0.005703422053231939,-9.695817490494296,0.004808317089018843,0.25490679043172476
2025-09,21,Cluster 21,4,501,0.007984031936127744,39.986693280106444,0.005305949001499665,0.9776096745191146
2024-01,22,Cluster 22,31,397,0.07808564231738035,0.0,0.07808564231738035,0.8046618651355375
2024-02,22,Cluster 22,27,357,0.07563025210084033,-3.1444835998915788,0.07808564231738035,0.7002732568540058
2024-03,22,Cluster 22,29,479,0.060542797494780795,-19.94896775690095,0.07685794720911035,0.0588442985450213
2024-04,22,Cluster 22,32,476,0.06722689075630252,11.040278180237607,0.0714195639710005,0.3430122440284202
2024-05,22,Cluster 22,20,487,0.04106776180698152,-38.91170431211499,0.06779998011730788,-0.7691185474368528
2024-06,22,Cluster 22,25,473,0.052854122621564484,28.699788583509523,0.05627915001935494,-0.2680324903815138
2024-07,22,Cluster 22,26,447,0.058165548098434,10.049217002237132,0.053716258394949506,-0.04222222617724496
2024-08,22,Cluster 22,24,458,0.05240174672489083,-9.909304669129993,0.05069581084232667,-0.2872648266333118
2024-09,22,Cluster 22,10,366,0.0273224043715847,-47.85974499089253,0.054473805814963104,-1.353489505400181
2024-10,22,Cluster 22,23,415,0.05542168674698795,102.8433734939759,0.04596323306496985,-0.15887491374824605
2024-11,22,Cluster 22,23,368,0.0625,12.771739130434788,0.04504861261448783,0.14205292431402833
2024-12,22,Cluster 22,18,391,0.04603580562659847,-26.342710997442452,0.04841469703952422,-0.5579068317926219
2025-01,22,Cluster 22,32,403,0.0794044665012407,72.48414667769505,0.05465249745786214,0.8607304363116512
2025-02,22,Cluster 22,27,451,0.0598669623059867,-24.60504434589801,0.06264675737594638,0.030111800422863003
2025-03,22,Cluster 22,26,510,0.050980392156862744,-14.843863471314457,0.061769078144608615,-0.34769238076771214
2025-04,22,Cluster 22,22,528,0.041666666666666664,-18.26923076923077,0.06341727365469671,-0.7436566699827364
2025-05,22,Cluster 22,26,475,0.05473684210526316,31.3684210526316,0.05083800704317204,-0.18799044029760806
2025-06,22,Cluster 22,38,513,0.07407407407407407,35.32763532763532,0.04912796697626418,0.634113810034453
2025-07,22,Cluster 22,20,475,0.042105263157894736,-43.15789473684211,0.05682586094866796,-0.7250101522080675
2025-08,22,Cluster 22,27,526,0.051330798479087454,21.91064638783271,0.056972059779077315,-0.332795185175872
2025-09,22,Cluster 22,21,501,0.041916167664670656,-18.341095586604574,0.05583671190368542,-0.7330493694522362
2025-10,22,Cluster 22,10,268,0.03731343283582089,-10.980810234541583,0.04511740976721762,-0.9287303165522096
2025-11,22,Cluster 22,3,20,0.15,302.00000000000006,0.043520132993192996,3.862033220360439
2024-01,23,Cluster 23,1,397,0.0025188916876574307,0.0,0.0025188916876574307,-1.2638784419490874
2024-02,23,Cluster 23,1,357,0.0028011204481792717,11.204481792717091,0.0025188916876574307,-1.235579454542765
2024-03,23,Cluster 23,8,479,0.016701461377870562,496.24217118997905,0.002660006067918351,0.1582032775416221
2024-04,23,Cluster 23,4,476,0.008403361344537815,-49.68487394957983,0.007340491171235755,-0.6738445545272652
2024-05,23,Cluster 23,4,487,0.008213552361396304,-2.258726899383978,0.00930198105686255,-0.6928766404620819
2024-06,23,Cluster 23,3,473,0.006342494714587738,-22.7801268498943,0.011106125027934894,-0.8804869913194364
2024-07,23,Cluster 23,4,447,0.008948545861297539,41.08873974645786,0.007653136140173953,-0.6191790776801193
2024-08,23,Cluster 23,5,458,0.010917030567685589,21.997816593886466,0.007834864312427194,-0.42179974676921894
2024-09,23,Cluster 23,3,366,0.00819672131147541,-24.918032786885234,0.008736023714523622,-0.6945642844458696
2024-10,23,Cluster 23,4,415,0.00963855421686747,17.59036144578314,0.009354099246819514,-0.5499921609093898
2024-11,23,Cluster 23,8,368,0.021739130434782608,125.54347826086953,0.009584102032009491,0.6633287400748483
2024-12,23,Cluster 23,5,391,0.01278772378516624,-41.17647058823529,0.013191468654375163,-0.2342259371238306
2025-01,23,Cluster 23,4,403,0.009925558312655087,-22.382133995037222,0.014721802812272108,-0.5212143521657336
2025-02,23,Cluster 23,10,451,0.022172949002217297,123.39246119733924,0.014817470844201312,0.7068275888589467
2025-03,23,Cluster 23,11,510,0.021568627450980392,-2.7254901960784395,0.014962077033346207,0.6462324605091593
2025-04,23,Cluster 23,10,528,0.01893939393939394,-12.190082644628097,0.017889044921950925,0.38260005857006685
2025-05,23,Cluster 23,7,475,0.014736842105263158,-22.189473684210526,0.02089365679753054,-0.03878846756237389
2025-06,23,Cluster 23,7,513,0.01364522417153996,-7.4074074074074066,0.01841495449854583,-0.148244648080014
2025-07,23,Cluster 23,6,475,0.01263157894736842,-7.428571428571429,0.015773820072065684,-0.24988252998925117
2025-08,23,Cluster 23,8,526,0.015209125475285171,20.405576679340932,0.013671215074723846,0.00856723465506248
2025-09,23,Cluster 23,11,501,0.021956087824351298,44.36127744510978,0.013828642864731183,0.6850829880252014
2025-10,23,Cluster 23,8,268,0.029850746268656716,35.95658073270014,0.01659893074900163,1.4766778612037152
2025-11,23,Cluster 23,1,20,0.05,67.5,0.022338653189431065,3.497037078087821
2024-01,24,Cluster 24,1,397,0.0025188916876574307,0.0,0.0025188916876574307,-0.9687481472203888
2024-02,24,Cluster 24,4,357,0.011204481792717087,344.81792717086836,0.0025188916876574307,0.4764342527686755
2024-03,24,Cluster 24,1,479,0.0020876826722338203,-81.36743215031316,0.006861686740187259,-1.0404963729907706
2024-04,24,Cluster 24,4,476,0.008403361344537815,302.52100840336135,0.005270352050869446,0.010359993795760303
2024-05,24,Cluster 24,2,487,0.004106776180698152,-51.129363449691986,0.007231841936496241,-0.7045424116514011
2024-06,24,Cluster 24,4,473,0.008456659619450317,105.91966173361524,0.004865940065823262,0.019228214368183755
2024-07,24,Cluster 24,4,447,0.008948545861297539,5.8165548098433995,0.006988932381562095,0.10107243346162972
2024-08,24,Cluster 24,11,458,0.024017467248908297,168.3951965065502,0.007170660553815336,2.6083678172845213
2024-09,24,Cluster 24,1,366,0.00273224043715847,-88.62394436164928,0.013807557576552052,-0.9332493665838302
2024-10,24,Cluster 24,3,415,0.007228915662650603,164.57831325301206,0.011899417849121435,-0.1850542738217992
2024-11,24,Cluster 24,1,368,0.002717391304347826,-62.40942028985508,0.011326207782905792,-0.9357200916737168
2024-12,24,Cluster 24,7,391,0.017902813299232736,558.8235294117646,0.004226182468052299,1.590959654660429
2025-01,24,Cluster 24,3,403,0.007444168734491315,-58.41900035448422,0.009283040088743722,-0.14923863582771926
2025-02,24,Cluster 24,1,451,0.0022172949002217295,-70.21433850702144,0.009354791112690625,-1.018930387439325
2025-03,24,Cluster 24,5,510,0.00980392156862745,342.15686274509807,0.009188092311315258,0.2433971232822179
2025-04,24,Cluster 24,1,528,0.001893939393939394,-80.68181818181819,0.0064884617344468315,-1.0727330284765253
2025-05,24,Cluster 24,5,475,0.010526315789473684,455.78947368421046,0.004638385287596191,0.36359522164891706
2025-06,24,Cluster 24,10,513,0.01949317738791423,85.18518518518519,0.007408058917346843,1.8555779664546113
2025-07,24,Cluster 24,7,475,0.014736842105263158,-24.4,0.010637810857109103,1.0641784235576779
2025-08,24,Cluster 24,4,526,0.0076045627376425855,-48.39760999456817,0.014918778427550357,-0.12255091655773255
2025-09,24,Cluster 24,1,501,0.001996007984031936,-73.75249500998005,0.013944860743606659,-1.0557499878069558
2025-10,24,Cluster 24,2,268,0.007462686567164179,273.8805970149254,0.00811247094231256,-0.14615748123245742
2024-01,25,Cluster 25,3,397,0.007556675062972292,0.0,0.007556675062972292,-0.5394476885465305
2024-02,25,Cluster 25,5,357,0.014005602240896359,85.34080298786182,0.007556675062972292,0.8323550707362415
2024-03,25,Cluster 25,6,479,0.012526096033402923,-10.563674321503136,0.010781138651934325,0.5176374996085711
2024-04,25,Cluster 25,2,476,0.004201680672268907,-66.45658263305323,0.011362791112423859,-1.2531153165979068
2024-05,25,Cluster 25,6,487,0.012320328542094456,193.22381930184807,0.010244459648856064,0.47386705460898687
2024-06,25,Cluster 25,7,473,0.014799154334038054,20.1198026779422,0.009682701749255429,1.001157868623753
2024-07,25,Cluster 25,3,447,0.006711409395973154,-54.650047938638544,0.01044038784946714,-0.7192508933781393
2024-08,25,Cluster 25,4,458,0.008733624454148471,30.13100436681222,0.01127696409070189,-0.2890893920722651
2024-09,25,Cluster 25,2,366,0.00546448087431694,-37.431693989071036,0.01008139606138656,-0.9844950090958502
2024-10,25,Cluster 25,4,415,0.00963855421686747,76.38554216867473,0.006969838241479522,-0.09659456134995044
2024-11,25,Cluster 25,4,368,0.010869565217391304,12.771739130434767,0.007945553181777627,0.16526361143370322
2024-12,25,Cluster 25,2,391,0.005115089514066497,-52.941176470588225,0.008657533436191904,-1.0588168333059054
2025-01,25,Cluster 25,3,403,0.007444168734491315,45.53349875930519,0.008541069649441757,-0.5633798074228765
2025-02,25,Cluster 25,1,451,0.0022172949002217295,-70.21433850702144,0.007809607821983038,-1.6752298485923702
2025-03,25,Cluster 25,1,510,0.00196078431372549,-11.568627450980395,0.0049255177162598465,-1.7297942622742835
2025-04,25,Cluster 25,8,528,0.015151515151515152,672.7272727272727,0.0038740826494795106,1.0761113497752977
2025-05,25,Cluster 25,4,475,0.008421052631578947,-44.42105263157895,0.006443198121820789,-0.3555790386204133
2025-06,25,Cluster 25,6,513,0.011695906432748537,38.888888888888886,0.00851111736560653,0.3410412451487477
2025-07,25,Cluster 25,8,475,0.016842105263157894,43.99999999999999,0.011756158071947546,1.4357302625002866
2025-08,25,Cluster 25,8,526,0.015209125475285171,-9.695817490494296,0.012319688109161793,1.0883661014464627
2025-09,25,Cluster 25,10,501,0.01996007984031936,31.237524950099793,0.014582379057063867,2.0989795147116435
2025-10,25,Cluster 25,3,268,0.011194029850746268,-43.9179104477612,0.01733710352625414,0.23428307266280216
2024-01,26,Cluster 26,10,397,0.02518891687657431,0.0,0.02518891687657431,2.346119408827445
2024-02,26,Cluster 26,2,357,0.0056022408963585435,-77.75910364145659,0.02518891687657431,-0.9716486128251938
2024-03,26,Cluster 26,3,479,0.006263048016701462,11.79540709812108,0.015395578886466426,-0.8597151364880848
2024-04,26,Cluster 26,6,476,0.012605042016806723,101.26050420168067,0.012351401929878105,0.21454906782691135
2024-05,26,Cluster 26,12,487,0.024640657084188913,95.48254620123204,0.008156776976622242,2.253250215066772
2024-06,26,Cluster 26,7,473,0.014799154334038054,-39.9400986610289,0.014502915705899032,0.5862076223145264
2024-07,26,Cluster 26,7,447,0.015659955257270694,5.8165548098433995,0.017348284478344564,0.732017854688568
2024-08,26,Cluster 26,1,458,0.002183406113537118,-86.05739238927012,0.018366588891832555,-1.55076171630513
2024-09,26,Cluster 26,2,366,0.00546448087431694,150.27322404371586,0.010880838568281955,-0.994983649165891
2024-10,26,Cluster 26,6,415,0.014457831325301205,164.57831325301206,0.0077692807483749175,0.5283912493584804
2024-11,26,Cluster 26,5,368,0.01358695652173913,-6.023550724637683,0.007368572771051754,0.38087461217921725
2024-12,26,Cluster 26,1,391,0.0025575447570332483,-81.17647058823529,0.011169756240452425,-1.487386734847848
2025-01,26,Cluster 26,2,403,0.004962779156327543,94.04466501240694,0.010200777534691194,-1.0799664159219617
2025-02,26,Cluster 26,4,451,0.008869179600886918,78.7139689578714,0.007035760145033307,-0.4182650385254091
2025-03,26,Cluster 26,4,510,0.00784313725490196,-11.568627450980395,0.00546316783808257,-0.5920653550165201
